,tweet_id,text,label
6626,1390697451158478848,"Heads Up! A Used Chinese Rocket Is Tumbling Back to Earth This Weekend. The chances of it hitting a populated area are small, but not zero. ""major cities like New York could be hit by debris.""  ",factual
6627,1390806183175393280,A Chinese rocket is expected to crash into Earth as soon as this weekend. CNN’s @JohnBerman discusses with theoretical physicist Michio Kaku. ,factual
6628,1390768452181372928,"Debris from a Chinese rocket is expected to crash back down to Earth this weekend -- but nobody is sure where it will land.  The 20-ton, 100-foot rocket is currently moving around the Earth at 17,000 mph.  The Pentagon has no plans to shoot down the rocket ",factual
6716,1274520986725974016,Glenmark launches anti viral drug Favipiravir at Rs 103 to treat mild COVID-19 cases  ,factual
6780,1275648096488304640,Union govt makes it mandatory for sellers to mention of ‘Country of Origin’ of products in Government e-Marketplace.  Great push to #AatmaNirbharBharatAbhiyan.  ,factual
919,1233517663210569728,The global spread of the new virus reached a critical stage this week. Here's what you should know about the illness. ,factual
923,1397171608582823936,"While children are far less likely than adults to get seriously ill from COVID-19, they represent about 14 percent of the nation’s coronavirus cases. ",factual
7030,789073728692948992,Fact Check: Hillary Clinton's deleted emails ,factual
7709,1240321289224478720,"#Coronavirus #Research: Droplets in air from sneeze or #coughing can #infect even after 3 hours. Once deposited on steel/plastic surface, #virus has ability to infect for 3 days. Surprisingly, on #copper surface, it’s ability to infect is for 4 hours only. ",factual
7716,1240063881038479360,#BreakingNews The highly contagious novel coronavirus that has exploded into a global pandemic can remain viable and infectious in droplets in the air for hours and on surfaces up to days. #CoronavirusOutbreak  ,factual
7724,1240289695059197952,"COVID-19 is detectable in aerosols for up to 3 hours, up to 4 hours on copper, up to 24 hours on cardboard, and 48-72 hours on plastic &amp; stainless steel. It's time to do away with cash. ",factual
7726,1243871569912328192,"#Coronavirus Can Survive Up to Three Hours in Air, Up to Thee Days on Plastic and Steel: Study   ",factual
7943,1000014142810525696,This is horrific and doesn't even mention the children ripped away from parents/immigrants who cross the border running from violent drug cartels or looking for enough work to feed their families.  #BorderCrisis #Immigrants #Resist  ,factual
7944,1009354328593850368,"Trump administration lost track of nearly 6,000 unaccompanied child immigrants last year, figures suggest ",factual
7945,1042232665250783232,"If I checked my coat at a restaurant and they lost my coat, they would be liable. A dry cleaner gives you a slip for your dry cleaning, and would be out of business quickly if they regularly lost customer goods.  But losing THOUSANDS of immigrant children? ",factual
7946,958069039586258944,.@exxonmobil just announced that it will invest $50 billion in the U.S. over the next 5 years. What does that mean for Americans? #jobsjobsjobs ,factual
7947,958432078101655552,"Thanks to the #TaxCutsandJobsAct the world's largest publicly traded company, @exxonmobil, plans to invest $50 billion in US over 5 years.  This is not ""#Armageddon"".   #SOTU  ",factual
8078,825025882158821376,You are more likely to be crushed by a meteor. Or become an astronaut and die in space. Or be killed by a pogo stick ,factual
8079,825010584156467200,You're more likely to die in a space travel incident than be killed by a refugee terrorist in America: ,factual
8081,1272510672316792832,"More than 20 cities and counties and at least three states -- Michigan, Ohio and Wisconsin -- have declared racism a public health crisis. ",factual
8082,1271987996506677248,Boston Mayor @marty_walsh has declared racism a public health crisis. ,factual
8083,1271695056504832000,The US city of Boston officially declared racism a public health crisis | @BISouthAfrica   ,factual
8084,1271769810544852992,Racism declared a public health crisis. @bostonpolice being defunded. Use-of-force policies amended. There’s been a number of changes regarding policing &amp; combatting racism by Boston officials this week. ,factual
8085,1271583312507801600,Boston Mayor Marty Walsh has declared racism a public health crisis.  He will reallocate $3 million from the city's police department to public health — and will propose transferring $9 million more for housing and counseling initiatives. ,factual
8086,1271767548116307968,"Racism is a public health crisis in Boston, Mayor Walsh declared Friday, responding to glaring racial inequities exposed by the COVID-19 pandemic and massive protests against police abuse that he said served as a call to action. ",factual
8093,1310122570667229184,I’m a practicing Catholic and I’m afraid that #AmyConeyBarrett’s faith is not #Catholic. This is the cult that the book Handmaidens Tail was written about. Her father is one of the leaders of the group where members do not practice individual thought. ,factual
8096,1310230169324576768,Judge Amy Coney Barrett is an excellent choice for Associate Justice on the Supreme Court and I support her confirmation. She is a strong conservative choice who would uphold the Constitution and interpret the law as written. #SCOTUS #ACB  ,factual
8100,1112795687157186560,"US will run out of avocados in three weeks if Trump closes Mexico border. From the avocados on avocado toast, to the limes and tequila in margaritas, the US is heavily reliant on Mexican imports of fruit, vegetables and alcohol to meet consumer demand. ",factual
8104,1009490669889564672,Trump Says He'll Be 'Signing Something' to Keep Detained Families Together .@POTUS Still Cleaning up Obama/Bush Mess  | The Stream ,factual
8105,1009597222676324352,"""Family detention - the jailing of children in mass incarceration facilities along with their parents - will not be tolerated either,"" says Tahirih Houston Executive Director Anne Chandler in response to today's #ExecutiveOrder @businessinsider ",factual
8106,1009560282216259584,"Despite Trump's order, there is no clear, publicly articulated plan to reunite families who are already detained.  More at @thedailybeast: ",factual
8126,949341927970885632,.@SenatorBaldwin is a progressive in a Trump state. And now she's battling more outside spending by conservative groups than all of her Democratic colleagues. Combined. (h/t @WIwfp)   ,factual
8127,949349208070369280,Sen. Tammy Baldwin is battling more outside spending by conservative groups than all of her Democratic... ,factual
8133,1263795846447091712,Wow! IU Researchers Identify Fabric That Kills Coronaviruses. #covid19  ,factual
8170,966095432584716288,"GUN BACKGROUND CHECKS Poll says 97% of Americans support them.  Yet Bills to strengthen them go no where.  AMERICA, YOUR VOICE HAS BEEN SILENCED  Who is Congress listening to instead?   Get Big Money out of politics.  ",factual
8174,958449775564677120,Congressman asks Sessions to arrest undocumented immigrants attending State of the Union ,factual
8178,760143335495307264,Trump claimed that Tim Kaine wanted to raise taxes by $4b as governor. He's mostly right. ,factual
8179,767914709777584128,"""Clinton says almost a half-million immigrants still eligible for DACA, particularly Asians""  Ruling: True ",factual
8181,759440733791281152,Homeownership in America has never been lower ,factual
3222,1259975321782235136,"""If we did very little testing, [America] wouldn't have the most cases. So, in a way, by doing all of this testing, we make ourselves look bad.""  - President Donald Trump @highbrow_nobrow ",factual
2896,1272671446083473408,"Trump told reporters how America could have less coronavirus cases 'If we stop testing right now, we'd have very few cases' —Seriously, he said that!🤦‍♀️  #TrumpPandemicFailure ",factual
8186,771163829506023424,Does Hillary Clinton want to massively increase number of Syrian refugees? ,factual
8197,822575087480086528,You can delete web pages but you can't delete the #UnitedResistance. @realDonaldTrump @POTUS ,factual
8198,822593808848326656,"Climate change, LGBT, veterans sections removed from White House website ",factual
8224,818593195059773440,".@NYGovCuomo: ""More college graduates are living at home than in decades."" ",factual
8225,782709046839214080,"REMINDER: While Trump paid no income tax for 18yrs, ""undocumented immigrants pay $12B of taxes every single year."" ",factual
8226,782721698298630144,"REMINDER: While Trump paid no income tax for 18 yrs, ""undocumented immigrants pay $12B of taxes every single year! ",factual
8227,782691209714266112,.@MariaTeresa1: Undocummented immigrants pay $12 billion a year in taxes. ,factual
8237,1291013898678808576,West’s ties 2 the individuals has raised questions about the intentions of his WH  bid &amp; whether the campaign is a GOP-orchestrated ruse 2 help siphon votes from Biden in swing-states 2 benefit tRump.  Because that’s what they do.   #GOPCheats #VoteJoe  ,factual
8238,1291001832756609024,Trump campaign attorney assists a scheme to place Kanye West on the ballot in Wisconsin.    Why?   To siphon off enough Black votes from Biden to win the state’s electoral votes.   Count on Russian &amp; Saudi social media micro-targeting to support the plan. ,factual
8239,1290972085137874944,The GOP lawyer helping get Kanye on the ballot in Wisconsin has also represented Trump in court.  ,factual
8240,1290971773425524736,A GOP lawyer who helped @kanyewest get on the ballot in Wisconsin also worked for @realDonaldTrump's campaign.   ,factual
8245,738036892499742720,Watch a massive alligator stroll across a Florida golf course like he owns the place ,factual
8246,738085220751151104,Watch as a massive alligator casually strolls across a Florida golf course ,factual
8247,737946758542688256,Well...it's the end of days.....errebody...pack your shit...monsters are roaming the earth....,factual
8248,737938861276307456,Massive 15ft gator captured on video strolling through #Florida golf course. ,factual
8423,1334890203433988096,The falcon appeared in front of the Ambassador Bridge tower camera. @CBCWindsor   ,factual
8425,1339214890834202624,He's an ahole wherever he is. Mar-A-Lardo is right next to PBI airport. He tried to get flight paths changed FOR HIM bc he didn't like noise. When PBC refused he went to war against the county. He's a disgusting man. I hope they stop him from staying here. ,factual
8427,1323744785652453376,"During an #ElectionDay visit to Philly, Democratic presidential candidate @JoeBiden addressed supporters in West Oak Lane. ",factual
8435,1352041550218371072,"The new contact form also allows people to choose the non-binary prefix ""Mx."" #NOH8 ",factual
8438,1362564086538592256,"“‘Anyone can or want to leave for the week?’ she wrote. ‘We may go to Cancún.’ She teased a ‘direct flight’ and ‘hotels w capacity. Seriously.’ Ms. Cruz promptly shared details for a Wed departure, a Sun return trip &amp; a luxurious stay at the oceanfront” ",factual
8439,1362547639401799680,“Anyone can or want to leave for the week?” she wrote. “We may go to Cancún.” ,factual
2536,1328848789902217216,A second #Georgia county in as many days was discovered to have not counted all its votes on Election Day. Both instances resulted in Biden's lead over @realDonaldTrump narrowing. #Recount ,factual
8496,1327388656856809472,Joe Biden’s electoral votes now 306 after Georgia win ,factual
8546,1384717540178501632,"Ted Nugent tests positive for COVID-19 after refusing vaccine, falsely claiming “nobody knows what’s in it” ",factual
8549,1384500436984635392,Ted Nugent Has Tested Positive For COVID-19 ,factual
8554,1394586080838619136,"Prior to their engagement, the couple had been notoriously private about their relationship, with Grande only sharing a few images of Gomez on her social media ",factual
8555,1394573472043393024,"Pop star Ariana Grande tied the knot with her real estate agent boyfriend in California over the weekend, some five months after the couple got engaged ",factual
8556,1394582831515406336,"“It was tiny and intimate — less than 20 people. The room was so happy and full of love. The couple and both families couldn’t be happier.” Congratulations, @ArianaGrande! 👰🏼‍♀️  ",factual
8557,1394714407851028480,"Pop star Ariana Grande has tied the knot with her real estate agent boyfriend Dalton Gomez, whom she started dating in January last year ",factual
8559,1394795979963043840,"Mark McCloskey, the man who attracted headlines for brandishing an AR-15 outside his St. Louis home as Black Lives Matter protesters marched by, is running for the open US Senate seat in Missouri.  ",factual
8560,1402368554645733376,"On many Japanese toilets, the hand wash sink is attached so that you can wash your hands and reuse the water for the next flush. Japan saves millions of liters of water every year doing this. ",factual
8561,1402750788485713920,"On many Japanese toilets, the hand wash sink is attached so that you can wash your hands and reuse the water for the next flush. Japan saves millions of litres of water every year doing this (courtesy: Fabulous Weird Trotter). ",factual
8562,1402487051602194432,"Ashish Lata Ramgobin, great-granddaughter of Mahatma Gandhi, has been sentenced to seven years in prison by a court in South Africa in connection with a six million rand (currency of South Africa) forgery case. #MahatmaGandhi ",factual
8563,1403241472871305216,Gohmert attracted mockery after he asked if the Forest Service could change the moon's orbit to combat climate change. ,factual
8564,1407596648490946560,"NEWS: Sesame Street features 2 gay fathers for 1st time in 51-year history.  ""Love is love, and we are so happy to add this special family to our Sesame family.""  ",factual
8565,1407628272108806144,'Sesame Street' is marking #PrideMonth by showing a type of family that has never been seen in the 51-year history of the iconic children's television show. ,factual
8566,1407934535111696384,".@JoyAnnReid: Florida Gov. DeSantis signed a bill requiring public universities and colleges to survey students, faculty, and staff about their beliefs and viewpoints, suggesting that the state could possibly intimidate educators, according to reports. ",factual
8568,1407797212759855104,"“If Democrats want to defund the police, they should start with the FBI,” #MattGaetz wrote, before deleting it almost immediately  The post was only up for one minute, according to #ProPublica’s #Politiwoops, which tracks politicians’ deleted tweets ",factual
8569,1408149957593473024,"Last night a far-right extremist group vandalized a statue of George Floyd in Brooklyn. A racist, loathsome, despicable act of hate.    The City Cleanup Corps is repairing the statue right now and a hate crime investigation is underway. We will bring these cowards to justice. ",factual
8571,1414716783299338240,"SAD STATISTIC: In just the first six months of 2021, more manatees have died than in any other year in Florida’s recorded history. ",factual
8572,1414691122459385856,"A record number of manatees have died in Florida this year due to food scarcity in the Indian River Lagoon, officials said. ",factual
8574,1414732076020948992,"More manatees died in the first half of 2021 than in any other year in Florida’s recorded history, according to state wildlife officials who say the unprecedented number of deaths stems from seagrass loss, pollution and boat strikes. @KaylaGoggin_CNS  ",factual
8575,1414739408486555648,"""More manatees have died in the first half of 2021 than in any other year in Florida's history."" ",factual
8577,1414735228824924160,"Blink and you’ll miss it, but yes, that is Mel Gibson giving a full-on military salute to Donald Trump as the former president walked into the UFC 264 fight between between Conor McGregor and Dustin Poirer ",factual
8583,796368332438073344,So many Americans — celebs included — considered moving to Canada last night that the immigration site CRASHED: ,factual
8584,796392051621253120,"So many Americans might want to move to Canada to escape Donald Trump, they crashed their immigration website. ",factual
8585,796497625906298880,"Canada's immigration website crashes after Trump win, trade, climate worries mount  ",factual
8586,796363730565009408,So many Americans tried to access Canada's immigration website on election night that it crashed. ,factual
8587,796306344022306816,Canada's immigration website crashed amid U.S. election uncertainty ,factual
8588,796382955853713408,Canada's immigration website crashed as Americans watched the election results come in last night #Election2016 #CapitalReports ,factual
8589,931289540286910464,"Trump administration to allow legally hunted ""elephant trophies"" to be imported into the U.S., reversing Obama's ban.  ",factual
8595,769742566313123840,👀 Colin Kaepernick sat down for the National Anthem in protest and also wore a Malcolm X hat #ColinKaepernick #49ers ,factual
8596,770405009762680832,Kaepernick wore a shirt commemorating Fidel's meeting with Malcolm X. ,factual
8597,770320923727650816,"Damn, just seeing this. Kaepernick wore a Fidel Castro tshirt after failing to stand for national anthem. Castro! ",factual
8598,770401583498604544,"On night he criticized ""oppression"" in U.S., Colin Kaepernick wore a shirt w pictures of Fidel Castro. ",factual
8599,957413162126491648,How Marcel Marceau Started Miming to Save Children from the Holocaust ,factual
8617,722270750456070144,.@realDonaldTrump accidentally refers to September 11 terrorist attacks as @7eleven: ,factual
8618,722355866549280768,"VIDEO: Donald Trump says 7-11 instead of 9-11 while talking about the September 11, 2001 terrorist attacks. ",factual
8619,704455540789874688,"#BernieBaby Oliver Lomas died of SIDS last week, his family stated:  ",factual
8621,697459181863968768,Guess which presidential candidate is actually paying interns? ,factual
8643,889509899012644864,WSJ: Spicer Stole Mini-Fridge From Junior Aides After They Refused To Give It ,factual
8910,788955272098250752,"""Hillary Clinton says 33,000 Americans die each year from guns""  Ruling: Mostly True ",factual
8911,789096506515189760,"Fact Check 'TRUE' from #DebateNight: ""We have 33,000 people a year who die from guns."" — Hillary Clinton ",factual
8946,870249192291262464,"Not pretty. UK worst economy in G7, plus weakest recovery from a recession in 300 years, right @D_Blanchflower? ",factual
8947,870380736368574464,UK now worst-performing advanced economy in the world after post-Brexit vote slump &lt; time for a different approach ,factual
8948,1093558726102003712,Government confirms mobile roaming charges could return after Brexit ,factual
8949,1093601982571601920,I voted to scrap mobile phone roaming charges across 28 member states a few years ago. Sad that this government is so inept that roaming charges will return for UK mobile users after #Brexit. ,factual
8966,651965259847086080,Eight people a day are referred to the Government's deradicalisation programme Channel http://t.co/pLUtPoyu6x http://t.co/S8s1XlZExM,factual
8967,652027981959962624,Large proportion of those referred to UK deradicalisation scheme are under 18 http://t.co/zobXJXddwA,factual
8968,798575043676635136,Half of Boys in Youth Jails Black or Ethnic Minority ,factual
8969,798596424740970496,"Nonwhites in England, 13% of the population, are 47% of youth offenders. #Crime #TNB #BootThemOut  ",factual
9098,1285326113519042560,A rare yellow turtle was spotted in India on Sunday and the unusual creature is mesmerizing people across the world. ,factual
9099,1285811291718737920,This rare yellow turtle was spotted in Odisha. Have you ever heard of them before?   ,factual
2661,1288232765784092672,"23 new cases of #COVID19 today, for a total of 3,523 in #BC.  Currently there are 9 people in hospital, 3 of them are receiving care in ICU. This is the lowest number of hospitalizations since June 26.   3,076 people who tested positive have recovered. ",factual
2662,1288491961402265600,"BREAKING UPDATE: Florida’s Department of Health on Wednesday confirmed 9,446 additional cases of COVID-19, bringing the state’s known total to 451,423. There were also 216 Florida resident deaths announced, setting another fatality record in the state. ",factual
2664,1288144280150773760,"COVID-19 Daily Report, July 28: • 4,310 tests (1,680 🆕🚻) • 6,141 positives (⬆️ 157) • 4,957 recovered (⬆️ 128) • 100 deaths (⬆️ 1) • 1,084 active cases (⬆️ 26)  Detailed information, including active case trend lines, can be found 24/7 at ",factual
2665,1288236173417209856,"Today we're reporting: 👉 162 new positive #COVID19 cases, county total at 8,367 👉 151 new recoveries, county total at 3,125 👉 105,885 total tests administered  Today’s report includes a testing increase of 1,314 putting the rate of positive COVID-19 tests at 12%.  (1/2) ",factual
1733,1272445617462112256,"Department of Health updates on coronavirus in the Philippines | Monday, June 15 ",factual
9516,1364795081534791680,#MoteraStadium Renamed As Narendra Modi Stadium – Free PDF Download ,factual
2290,1364725157189742592,Great news! Study of effects of Pfizer Covid19 vaccine 94% effective in real world study of those who had received the vaccine in Israel. It is shown to be effective against the UK variant as it is the dominant virus in Israel #OVHealthcare  #ONEV1 ,factual
2494,1364507291869929472,Are you yet to get vaccinated? Here are the seven most common adverse reactions ,factual
9749,986428186970869760,"Neil James: ""John Monash: the case against a posthumous field marshal’s baton"". #ausdef #auspol #Monash ",factual
2856,1235455107837259776,“...washing your hands regularly and covering sneezes and coughs. But if you are “sick and need to go out you should wear a mask.”  Read why the CDC is not recomending a face mask to protect against Coronavirus.  #OneVoice1   ,factual
4449,1235282570058911744,"We’ve been told, repeatedly, that we do not need to buy or wear masks if we are healthy, and yet, people keep buying masks, so much so that there’s a worldwide shortage ",factual
4489,1222512098690777088,"many people are wearing masks that are not very helpful, masks made out of cloth without filter will not help you at all but this mask makes you:  - immune to coronavirus and all diseases  - deathly allergic to sunlight - insanely obsessed with the Joestar family - zA WARUDO ",factual
10417,1359553725073866752,28 Executive Orders in Just 2 Weeks. What Kind of a ‘Democracy’ is This? Via: @HannahCox7  ,factual
10425,1354082053978009600,Governing like a dictator? President Biden shatters record for executive orders in first week ,factual
10432,1352132854197706752,"Some of the controversial policies introduced by Trump have been reversed as Biden signed 17 executive orders on his first day in office.  Among others, Biden has signed an order stopping the construction of the border wall. @POTUS   ",factual
10437,1352108663394217984,"He signed 17 in total, more than half of which reversed a Trump-era policy. ",factual
10439,1352063898460033024,"As he promised, President Joe Biden spent the first day of his term walking back Donald Trump’s legacy and establishing a new order through a flurry of executive actions. He signed 17 in total, more than half of which reversed a Trump-era policy.   ",factual
10441,1352019328212852736,"“With the stroke of a pen, Biden has halted funding for construction of Trump's border wall, reversed his travel ban targeting largely Muslim countries and embraced progressive policies on the environment and diversity that Trump spent four years blocking” ",factual
10443,1352034861947633664,.@POTUS signed 17 exe. orders including: ✅ Protecting DACA ✅ Canceling the Keystone Pipeline ✅ Stopping the US's exit from the WHO ✅ Halting Trump's border wall ✅ Ending the Muslim travel ban ✅ Strengthening workplace discrimination protections ,factual
10445,1352040289582641152,"🥳🥳🥳 On Day 1, @JoeBiden killed the Keystone XL pipeline and directed agencies to review and reverse more than 100 Trump actions on the environment. ",factual
10447,1352031227440553984,Trading Catalysts Biden Schedule w/Daily Theme: Thursday: Coronavirus Friday: Economic Relief Monday: Buy American Tuesday: Prison Reform Wednesday: Climate Change Thursday: Health Care Friday: Immigration ,factual
10449,1359507452060958720,Biden Has Now Signed 52 Executive Orders And Actions In First 20 Days In Office ,factual
10778,1282703272902451200,"Jharkhand teacher asks students to learn national anthems of Pak, Bangladesh; kicks up row ",factual
10779,1282350813608697856,"Jharkhand teacher asks students to learn national anthems of Pakistan, Bangladesh; kicks up row  ",factual
11142,1293510040138129408,"Social media posts claim children vaccinated against the flu are at a significantly higher risk of contracting other respiratory infections, including coronaviruses. This is false. #FakeNews #coronavirus #COVID19   ",factual
2478,1240710677775273984,A new report from the @CDCgov finds that 38 percent of hospitalized #CoronaVirusUpdate cases in the U.S. are 20- to 54-year-olds. Be smart. Stay safe. Hopefully you never see us in the hospital. ,factual
11269,1115663973683224576,Its a natl scandal that black mothers are 4x more likely to die in childbirth than white women. The situation is even worse in NYC where that number doubles to 8X. ,factual
11270,1115683042230702080,"""Black women are 243 PERCENT more likely to die from pregnancy or childbirth-related causes than their white counterparts.""  ",factual
11271,1115373506198261760,Black Women are 243% more likely to die from childbirth complications than white women.   2CS Talks: 243% honored the voices of BW as we openly discussed Black Motherhood + Maternal health and learned how to become better advocates for ourselves 💥  ,factual
11272,1115725447847927808,"Black Maternal Health Matters. The U.S. has the worst maternal mortality rate in the developed world, and it's unacceptable. Women, especially women of color, shouldn't have to risk death to bring life into this world. So we're fighting back.   ",factual
11679,1004791632389181440,Just in time for summer!  Over 100 utility companies reduce rates by $3 billion &amp; credit GOP tax cuts @HouseGOP  ,factual
11680,1004831614348607488,"“$3 billion payoff: 101 utilities cut rates, credit GOP tax cuts” More great news for consumers thanks to #TaxReform from @DCExaminer below 👇  ",factual
11681,1004813640363626496,"Thank you @realDonaldTrump $3 billion payoff: 101 utilities cut rates, credit GOP tax cuts ",factual
11691,783813809903468544,Just revealed tax returns show that Donald Trump is a rich brat who has failed for decades ,factual
11693,781141417431293952,"At debate, Hillary Clinton tax claim ignores years when Donald Trump reportedly paid federal taxes ",factual
11701,923960170669137920,"30% of those earning between $50,000 and $150,000 would actually pay more taxes under the Republican tax plan.  ",factual
11702,919642283913424896,Don't be deceived! Trump's tax plan is just a huge break to the top one percent. #NotOnePenny ,factual
11725,1310903717370179584,"In Vermont, opioid deaths are up by 40 percent this year. To help understand why, @hlswift_ went deep on one man’s pandemic story with a small assist from me. ",factual
11726,1296583030065319936,make sure you request your ballot as early as possible!! ,factual
11727,1247664053268275200,"Trump: ""Mail-In Voting Is Horrible, It's Corrupt,"" But I Totally Vote By Mail ""Because I'm Allowed To"" [VIDEO] - ",factual
11732,1298801665471123456,".@USATODAY Fact Check: ""RNC claims Biden is ‘anti-law enforcement.’ He’s not."" ",factual
11733,1311446960352768000,trump is the one who plans to defund cops  Joe Biden says Donald Trump has proposed hundreds of millions of cuts in police funding. Mostly True. The Trump administration would cut about half a billion from overall state and local law enforcement aid. ,factual
11750,1126265702237855744,"Something that I don't think most people really get is that we've never really seen abortion laws this draconian in the history of the United States, even pre-""Roe v. Wade."" ",factual
11751,1126271773497024512,"I will never again visit GA. And I will stop buying any product that comes from or is headquartered in GA. This is extreme control over women and their own flesh and blood. HB 481: Georgia law criminalizes abortion, subjects women to life in prison. ",factual
11767,1323359147413430272,Joe Biden is a nasty man. Voter calls Joe out for Hunter selling access to the Obama White House.  Biden pounced: “You’re a damned liar man. No one has ever sad that —no one. No one ever will...”,factual
11772,1238613035922661376,Spectrum offering free access to broadband and Wi-Fi for students without access for 60 days ,factual
11778,722923055564066816,.@TedCruz is mathematically eliminated. Time to follow the advice he gave to @JohnKasich DROP OUT! ,factual
11780,703995432049856512,.@TedCruz: Perhaps Trump’s Tax Returns Show ‘Dealings w/ Mob’ More Extensive than Reported ,factual
11781,703997605651615744,Ted Cruz goes after Trump's mob ties ,factual
11784,1187518848473411584,"One month ago today, @SpeakerPelosi became the first speaker in U.S. history to launch an #impeachment inquiry without first holding a vote in the House.   And so it was born, the most secretive impeachment process this country has ever seen. ",factual
11785,1349494701905350656,Trump impeached in bipartisan vote -- first president in history to be impeached twice ,factual
11810,1226197770404540416,"Are you paying attention to what your viciously vindictive Democrat Representatives REALLY think about the well-being of you and your families, American voters?  ",factual
11839,1071856856124010496,"An elementary school principal in Omaha, Nebraska is on administrative leave after asking teachers to not celebrate Christmas in classrooms. ",factual
11844,1114231263710330880,Unemployment Remains Near 50-Year Low ,factual
11850,742851745689260032,.@realDonaldTrump &lt;-- He helped build this: #HillaryClinton says anti-Muslim hate crimes tripled ,factual
11862,783519576415936512,Sanders: Trump would allow states to lower the minimum wage ,factual
